Class,Opal_520,Opal_570,Opal_620,Opal_690,Distance
520:570:690,0.2787,0.0124,0.0044,0.0363,4181.29
520:570:690,0.1843,0.0259,0.0121,0.0318,4179.7515
520:620,1.1073,0.0001,0.0961,0.0191,4194.085
520,0.2067,0,0.0022,0.0191,4183.23
520:690,0.4197,0.0024,0.0034,0.0496,4178.9434
520:570,0.7124,0.0167,0.0133,0.0156,4121.9717
520:570:620,1.8502,0.0256,0.1263,0.018,4119.8174
520:620,0.314,0.0002,0.0232,0.0109,4134.8608
520,0.6333,0.0026,0.013,0.0207,4111.397
520:690,1.5957,0.0002,0.0072,0.0236,4116.6099
520:690,0.3886,0.0016,0.0033,0.0581,4108.7886
520:620,2.5576,0.0001,0.1199,0.0155,4135.6948
520:620:690,0.2185,0.0002,0.1173,0.0233,4118.3184
520:690,0.6717,0.0002,0.0365,0.0282,4128.4414
520:690,0.6288,0.0023,0.0034,0.1147,4118.7344
520:690,0.5436,0.0031,0.0064,0.0912,4109.3418
520:620,0.1575,0.0006,0.0702,0.0123,4094.6135
520:690,0.2663,0.0005,0.0028,0.0288,4052.6013
520:570:690,0.3186,0.0139,0.0029,0.0347,4009.9109
520,0.1516,0.0038,0.0128,0.0147,4020.4341
520:690,0.5664,0.0001,0.0019,0.0323,4034.1343
520:690,0.4273,0.0004,0.0036,0.0387,3996.5461
520:690,0.3696,0.0004,0.0036,0.0654,4014.8398
520:690,0.3176,0.0012,0.0031,0.0576,3973.6946
520:690,0.44,0.0012,0.0291,0.0709,3979.8418
520:620:690,0.1556,0.0029,0.5202,0.039,3970.2827
520:690,0.3168,0.001,0.0021,0.0504,3257.4355
520,0.1971,0.0024,0.003,0.0162,3197.2834
520:690,0.2174,0.003,0.0021,0.0395,3272.5532
520:620:690,0.4128,0.0007,0.4025,0.0288,3217.6755
520:690,0.4191,0.001,0.002,0.0883,3238.1492
520:620:690,0.2323,0,0.1483,0.0236,3185.9688
520:690,0.5425,0.0016,0.004,0.1473,3994.2195
520:690,0.2916,0.0001,0.0257,0.0448,3963.5339
520:690,0.2333,0.0001,0.0027,0.027,3993.1072
520:690,0.4607,0.0023,0.0147,0.0325,3935.5056
520:690,0.264,0.0038,0.0017,0.0359,3923.4941
520:690,0.8481,0.0034,0.0029,0.0961,3942.6125
520:570:690,0.3407,0.0082,0.0022,0.0256,3925.6763
520:690,0.2229,0.0001,0.0023,0.0264,3952.5049
520:690,0.4246,0.0012,0.0026,0.0754,3932.8743
520:690,0.2278,0.0005,0.0025,0.034,3917.7905
520:690,0.6633,0.0029,0.0023,0.0866,3923.0068
520:690,1.4483,0.0014,0.0101,0.0492,3871.0635
520:690,5.5058,0,0.015,0.0282,3877.0835
520,0.1579,0.0001,0.0028,0.017,3884.573
520:690,0.4765,0.0034,0.0059,0.0721,3911.5825
520:570,0.3831,0.009,0.0245,0.0114,3868.605
520,0.8129,0.0001,0.0163,0.023,3925.437
520:620,0.9669,0.0001,0.1021,0.011,3932.0415
520,0.1582,0.0014,0.0033,0.0211,3848.3206
520,0.1528,0,0.0035,0.0191,3936.1475
520:690,0.3056,0.0008,0.0118,0.0236,3883.7419
520:690,0.3488,0.0002,0.0043,0.0273,3890.0857
520,0.3846,0.0006,0.0488,0.0124,3922.7656
520:620,1.2951,0.0005,0.2174,0.0093,3864.2275
520:620,0.1721,0.0035,0.3337,0.0132,3857.2559
520:620,0.176,0.0049,0.0422,0.0114,3851.9233
520:620,0.3449,0.0002,0.0423,0.0162,3844.5684
520:620,0.8101,0.0002,0.0738,0.0103,3867.7327
520,0.3716,0.0001,0.0094,0.0133,3860.8582
520:690,0.2099,0.0001,0.0024,0.0255,3817.7722
520:690,0.2014,0.0031,0.0019,0.0254,3754.8298
520:570:690,0.356,0.0162,0.0025,0.0429,3759.4099
520,0.2129,0,0.002,0.0109,3784.7856
520:620:690,0.1695,0.003,0.0943,0.0597,3752.2073
520,0.154,0,0.0023,0.0134,3789.4885
520:620,0.7602,0,0.0538,0.0079,3745.7502
520:690,0.1885,0.0036,0.002,0.0246,3708.4036
520:620,0.4243,0.0008,0.2931,0.0169,3655.0208
520:690,0.2283,0.0002,0.003,0.0271,3696.4534
520:620,0.7051,0.0001,0.0412,0.0093,3641.4902
520:690,0.3423,0.0002,0.0018,0.0337,3618.3645
520,0.244,0,0.0022,0.0219,3662.2996
520:690,0.2728,0,0.0053,0.0254,3652.6519
520:690,0.3865,0.0026,0.0031,0.0443,3641.2515
520:620,0.1844,0.0004,0.0209,0.0173,3610.397
520:690,0.198,0.0005,0.0029,0.034,3619.1169
520:570,0.159,0.0112,0.0021,0.0196,3625.7107
520,0.3182,0.0005,0.0041,0.015,3673.478
520:690,0.6229,0.003,0.0052,0.0426,3668.522
520:570:690,0.3743,0.0142,0.003,0.0576,3660.0432
520:570,0.1665,0.0193,0.0141,0.0147,3670.9084
520:690,0.3441,0.0001,0.0028,0.0394,3596.0317
520:570,0.1775,0.0335,0.0036,0.0176,3598.7729
520:690,0.2089,0.0005,0.0025,0.0251,3604.3396
520:690,0.423,0.0006,0.0026,0.0256,3599.489
520:690,0.5017,0.0001,0.0201,0.024,3591.2002
520:570:690,0.3044,0.0178,0.0026,0.0524,3551.353
520:690,0.326,0.0004,0.0035,0.0717,3566.1375
520,0.1544,0.0011,0.0029,0.018,3480.3525
520:690,0.1736,0.0031,0.0041,0.0375,3499.2065
520:690,0.4155,0.0035,0.0034,0.0551,3485.2383
520:690,0.1563,0.0031,0.0041,0.0483,3469.6382
520:690,0.3206,0.0037,0.0031,0.047,3488.6438
520:690,0.2065,0.0002,0.0023,0.0232,3494.6885
520:690,0.357,0.0058,0.0046,0.0695,3476.3328
520:690,0.1765,0.0005,0.0025,0.054,3427.4817
520,0.5229,0.0008,0.0142,0.0155,3510.9272
520:620,2.3356,0.0005,0.5128,0.0146,3519.2546
520:690,0.3072,0.002,0.0084,0.056,3501.9937
520:620,0.2883,0.0001,0.0473,0.0113,3455.5879
520,0.179,0,0.005,0.0107,3397.7273
520:620,1.5937,0,0.0443,0.0068,3404.6023
520:620,0.8227,0,0.0383,0.0102,3399.4438
520:690,0.2457,0.0007,0.003,0.0604,3429.3167
520,0.174,0.0003,0.0036,0.022,3411.2969
520:620,0.915,0,0.054,0.0105,3380.1443
520:570:690,0.1555,0.0232,0.0035,0.0483,3340.0344
520:690,0.2051,0.0007,0.006,0.03,3383.9675
520:690,0.2395,0.0043,0.0097,0.0414,3294.9553
520:690,0.3794,0.0026,0.0042,0.0845,3343.2661
520:620:690,0.1706,0.0002,0.0804,0.0277,3344.0225
520:690,0.2866,0.0011,0.002,0.0532,3337.2249
520:690,0.304,0.0032,0.0009,0.0629,3343.1377
520:690,0.3625,0.0004,0.0022,0.0994,3340.2954
520:570:690,0.402,0.0459,0.0056,0.1436,3266.3125
520:690,0.2723,0.0039,0.0022,0.06,3272.5569
520:690,0.3049,0.0006,0.002,0.0236,3339.3845
520:690,0.3315,0.0024,0.0024,0.05,3281.9436
520:690,0.4147,0.0023,0.0019,0.054,3301.7136
520,0.2002,0.0003,0.0016,0.0156,3283.9231
520:690,0.1519,0.0023,0.0056,0.047,1466.0637
520:570:690,0.4581,0.0246,0.004,0.0348,1464.1084
520:570:690,0.2252,0.0078,0.0023,0.0334,1428.6105
520:570:620:690,0.2918,0.0286,0.1993,0.0325,1456.3564
520,0.2407,0.0001,0.0105,0.0035,1456.9626
520:570:690,0.3987,0.0331,0.0027,0.0399,1641.6604
520:690,0.2402,0.0008,0.0026,0.026,1570.639
520:620,0.2215,0.0002,0.0771,0.0043,1834.2675
520:570:690,0.3926,0.0277,0.0032,0.0352,1583.4235
520:570:690,0.396,0.0297,0.0028,0.0267,1646.2234
520:570,0.2464,0.0105,0.005,0.0229,1637.0261
520:690,0.3257,0.0022,0.0013,0.0333,2264.762
520,0.155,0.0021,0.0101,0.0087,1567.8959
520:620,0.2468,0.0001,0.149,0.0171,2015.2249
520:690,0.2718,0.0035,0.0102,0.0289,1574.4016
520:620,1.6068,0,0.0661,0.0046,2133.9749
520:570:690,0.3001,0.0374,0.0033,0.0342,1582.3871
520:570,0.381,0.0352,0.0028,0.0116,1890.0977
520:620,1.9031,0,0.1784,0.0036,2139.4929
520,0.2648,0.0044,0.0037,0.0143,1893.8274
520:620,1.4818,0.0008,0.0475,0.0109,1594.2725
520:620,2.0184,0.0001,0.1374,0.0039,1926.8002
520:620,1.6165,0.0013,0.1494,0.0058,1932.9084
520,0.1906,0.0007,0.0209,0.0188,2248.0354
520:570,0.1564,0.0096,0.0032,0.0184,1761.2186
520:620,0.7414,0,0.1119,0.0058,1557.4083
520:690,0.3205,0.0047,0.0019,0.0441,2259.772
520,0.1506,0.0001,0.0063,0.0099,1741.2198
520:620,0.4075,0,0.0554,0.008,2049.9854
520:620,0.7013,0,0.0507,0.0046,1525.2103
520,0.19,0.0005,0.0161,0.0064,1663.7573
520,0.2148,0.0052,0.0028,0.0182,1597.0599
520:620,3.6813,0,0.0381,0.0058,2290.6311
520:570:690,0.4015,0.0127,0.0026,0.0765,1810.1532
520:570:690,0.551,0.0233,0.0024,0.0681,1815.843
520:620,0.1531,0.0007,0.0574,0.0116,1696.2577
520:690,0.2709,0.0012,0.0158,0.0268,2104.5205
520:690,0.2935,0.0018,0.0038,0.0494,2193.2051
520:690,0.4635,0.0007,0.001,0.041,1991.5027
520,0.3801,0,0.0193,0.0192,2301.2168
520,0.1873,0.0036,0.0036,0.021,1653.7617
520:620,2.4234,0.0005,0.0506,0.0043,1630.9657
520:690,0.2168,0.0001,0.0021,0.0383,1996.0682
520:690,0.3458,0.0006,0.0023,0.0442,2112.9146
520:690,0.4355,0.0023,0.0284,0.0495,2107.0532
520:620,0.1927,0,0.0247,0.0041,1689.0427
520:620:690,1.2062,0.0014,0.2266,0.0342,2107.2986
520:620,0.1895,0.0001,0.0343,0.0064,1856.0686
520:620,0.4451,0.0004,0.0429,0.0076,2198.8269
520:620,1.1501,0.0001,0.0862,0.0057,2131.9128
520:620,2.2011,0,0.2694,0.0063,1811.0939
520:620,0.3899,0,0.0601,0.0083,2161.2378
520:570:690,0.2592,0.0136,0.0018,0.0345,2161.3635
520:620,0.215,0,0.0542,0.0101,3215.4622
520:690,0.3889,0.001,0.0094,0.0616,3265.9333
520:690,0.1653,0.0002,0.003,0.0353,3228.2205
520,0.3104,0.0023,0.0016,0.0223,3132.1155
520:690,0.3137,0.0044,0.0041,0.1154,3179.2964
520:690,0.186,0.0001,0.0031,0.0453,3169.73
520:690,0.2452,0.0003,0.0047,0.0594,3154.6318
520:690,0.1626,0.0047,0.0044,0.0314,3173.356
520:690,0.5075,0.0009,0.0054,0.1255,3160.9539
520:690,0.3772,0.0003,0.0052,0.0718,3110.3679
520:690,0.1556,0,0.0035,0.0294,3116.1284
520,0.2395,0.0004,0.0029,0.0215,3110.5242
520:690,0.3672,0.0039,0.0011,0.0256,3113.7698
520:620:690,0.5754,0.006,0.0307,0.0966,3140.2832
520,0.2916,0.0002,0.0105,0.0094,3125.8552
520:690,0.298,0,0.0072,0.0459,3143.1797
520:690,0.3078,0.0002,0.0024,0.0433,3090.4629
520:690,0.5529,0.0034,0.0019,0.1309,3097.293
520:690,0.2806,0.0014,0.0021,0.0629,3106.9465
520:620,0.1622,0.0003,0.115,0.0178,3016.7476
520:620,1.7214,0,0.1434,0.0058,3074.5046
520:620,0.1578,0.0007,0.2757,0.0136,3023.0071
520:620,1.6107,0.0007,0.0762,0.0079,3032.666
520:690,0.1538,0.0032,0.0049,0.0288,2992.8049
520:570:690,0.4163,0.0101,0.0059,0.0743,2985.0425
520:620:690,0.6315,0.0043,0.0867,0.0545,2990.5562
520:690,0.3788,0.0012,0.0021,0.0331,3008.3667
520:570:690,0.5034,0.0146,0.0098,0.1316,2977.7981
520:570,0.2394,0.0147,0.0019,0.0178,3003.2085
520:690,0.1903,0.0018,0.0038,0.0971,2965.2292
520,0.5566,0.0001,0.0226,0.0085,2920.1899
520:690,0.3404,0.0008,0.0037,0.076,2985.9749
520,0.201,0.0004,0.009,0.0071,2892.4536
520:690,0.2549,0.005,0.0097,0.0307,2848.3838
520:620,0.2669,0.0003,0.0764,0.0116,2932.7473
520:570,0.1738,0.0114,0.0047,0.0108,2915.7766
520:620:690,0.211,0.0042,0.0356,0.0253,2957.7986
520:620:690,1.2232,0.0025,0.0859,0.0317,2949.7793
520:620,0.9901,0.0002,0.0848,0.0146,2911.0845
520,0.165,0.0002,0.004,0.0157,2954.064
520:690,0.2273,0.0013,0.003,0.0352,2794.2017
520:690,0.2599,0.0002,0.0042,0.0325,2802.1282
520:570:690,0.5631,0.0135,0.0044,0.0977,2854.824
520:570:690,0.5191,0.0096,0.0026,0.1011,2788.0977
520:690,0.4403,0.0023,0.0019,0.0569,2721.7832
520:690,0.5149,0.0045,0.0022,0.0602,2794.7107
520:570:690,0.308,0.0131,0.0027,0.0383,2724.1648
520:690,0.2869,0.0038,0.0031,0.0511,2769.8752
520:690,0.3381,0.003,0.0025,0.0426,2706.5063
520:570:690,0.4679,0.0315,0.0032,0.0656,2759.0659
520:620:690,0.2008,0.0022,0.0931,0.0632,2809.2498
520:620,0.1616,0.0007,0.1095,0.0117,2662.8831
520:570:690,0.4544,0.0169,0.0026,0.0706,2717.8118
520:690,0.2053,0.0022,0.0031,0.0557,2758.6069
520:570:690,0.3665,0.0102,0.0024,0.0396,2725.1172
520:690,0.2287,0.0004,0.0049,0.0287,2832.8933
520:690,0.1569,0.0004,0.0016,0.0291,2700.1418
520:690,0.2463,0.0005,0.003,0.038,2842.9387
520:690,0.2258,0.0007,0.0156,0.0404,2631.6062
520:690,0.3858,0.0059,0.0046,0.0935,2641.0886
520,0.2686,0.0004,0.0022,0.0194,2838.1582
520:690,0.2645,0.0007,0.0022,0.0327,2719.9233
520:690,0.2907,0.0023,0.0019,0.0278,2722.9224
520:620,0.7165,0.0001,0.1361,0.0062,2616.7891
520:620,0.7034,0.0002,0.0418,0.0148,2799.7168
520:570:690,0.2292,0.0062,0.0024,0.0359,2742.3152
520:570,0.1563,0.012,0.0034,0.0213,2700.6406
520:690,0.4922,0.0025,0.0063,0.0882,2765.8547
520:570:690,0.1936,0.0105,0.0029,0.0404,2777.1194
520:570:690,0.5007,0.0169,0.0028,0.0842,2724.2183
520:570:690,0.2117,0.0387,0.0035,0.0276,2731.916
520:690,0.3231,0.0047,0.0036,0.074,2764.0247
520:690,0.3329,0.0032,0.0022,0.0527,2718.3254
520:690,0.4294,0.0059,0.0096,0.0809,2708.8774
520:570:690,0.4832,0.0074,0.0021,0.0538,2729.7468
520:620,0.3535,0.0001,0.0669,0.008,2644.2939
520:620,0.1569,0.0002,0.0581,0.0087,2596.0017
520:620,0.8438,0.0003,0.2191,0.0094,2593.1055
520,0.1581,0.0006,0.0022,0.0209,2562.9978
520:690,0.1732,0.0015,0.0162,0.0258,2528.1956
520:690,0.3978,0.0031,0.0022,0.0683,2536.2031
520:570:690,0.3135,0.0087,0.0026,0.0451,2592.2322
520:570:690,0.2223,0.0109,0.0037,0.0311,2433.8333
520:570,0.2193,0.0068,0.0061,0.015,2437.7852
520,0.164,0.0034,0.002,0.021,2422.4011
520:570,0.1567,0.0104,0.0048,0.0061,2512.48
520:690,0.1881,0.0025,0.0023,0.0514,2574.4451
520,0.3278,0,0.015,0.0068,2497.2988
520,1.1059,0,0.0524,0.0045,2504.6528
520:620,1.4859,0,0.0841,0.0106,2517.9675
520:620,1.7101,0,0.124,0.0051,2400.3879
520:570:620:690,0.5276,0.0233,0.0222,0.0512,2340.5916
520,0.17,0,0.0087,0.006,2381.0813
520,1.3414,0.0027,0.0094,0.0051,2373.7793
520:620,0.6999,0.0001,0.0261,0.0076,2486.3157
520:570,0.2006,0.0099,0.0015,0.0065,2365.8713
520:620,1.5033,0,0.067,0.0076,2377.7148
520,0.2342,0.0004,0.0018,0.0223,2335.4675
520:620,2.8699,0.0001,0.2679,0.0156,2315.9106
520,0.2876,0.0018,0.0015,0.0193,2268.592
520,1.0277,0,0.0316,0.008,2318.5298
520:690,0.2865,0.002,0.0038,0.058,3277.021
520:690,0.4165,0.0057,0.0034,0.0409,3289.9377
520:570,0.2723,0.0184,0.0037,0.0185,783.23
520:570,0.227,0.0356,0.0267,0.0119,585.4988
520:570,0.3676,0.0068,0.0079,0.0019,583.3061
520,0.1689,0.0052,0.0039,0.0071,525.316
520,0.1734,0.0016,0.0068,0.0116,513.0789
520:570,0.2112,0.0076,0.0026,0.0118,515.1627
520:570,0.2243,0.0125,0.0041,0.0136,553.432
520:570,0.1716,0.0151,0.0049,0.0113,559.0493
520,0.1704,0.0052,0.0037,0.007,515.7926
520:570,0.2185,0.0083,0.0026,0.0159,605.4476
520:570,0.1603,0.0198,0.0042,0.0164,569.9846
520:570,0.2828,0.0337,0.0042,0.0183,703.8445
520:620,0.1775,0.001,0.0942,0.0067,642.111
520,0.1665,0.0015,0.0031,0.0165,459.9349
520:570,0.1544,0.0064,0.0035,0.0132,537.2719
520:570,0.2195,0.0185,0.0055,0.0147,457.1477
520:620,0.2464,0.0006,0.0602,0.0044,664.7878
520:620,0.1937,0.0011,0.1944,0.0093,537.8105
520:570,0.2348,0.0149,0.0026,0.013,703.5206
520,0.2202,0.0004,0.0095,0.0084,444.2929
520:570:690,0.1798,0.0105,0.0036,0.0234,586.3648
520:570,0.3143,0.0153,0.004,0.0165,600.4859
520:570,0.1832,0.0218,0.0031,0.0137,546.7175
520,0.1865,0.004,0.0021,0.0109,705.9214
520:620,0.2271,0.0011,0.0532,0.0131,393.921
520:570,0.1533,0.0074,0.0042,0.0159,552.5584
520:620,0.7855,0.0003,0.0305,0.0096,423.8504
520:570,0.2653,0.0263,0.0047,0.0128,637.1778
520,0.1965,0.0002,0.0234,0.0055,435.753
520:620,0.6357,0.0032,0.0322,0.0049,587.9199
520:570:620:690,0.2425,0.0134,0.054,0.0436,487.3922
520,0.1834,0.0011,0.0077,0.0171,405.2491
520:570,0.2182,0.0113,0.0043,0.0147,605.9932
520:570,0.1734,0.0281,0.0089,0.0222,394.3992
520:690,0.1776,0.006,0.0025,0.0252,664.804
520:570,0.1998,0.0172,0.0062,0.0162,388.9988
520:620,0.2285,0.001,0.1178,0.0156,403.3413
520:570:690,0.2845,0.0107,0.009,0.0254,395.1735
520,0.1651,0.0007,0.0181,0.0062,444.0539
520:620,0.3216,0.001,0.1013,0.0076,365.8402
520:570,0.3022,0.0161,0.0041,0.0154,672.6793
520:620,0.1789,0.0011,0.0914,0.0152,538.6346
520,0.6705,0.0008,0.0259,0.0072,473.0154
520:570:690,0.2207,0.0117,0.0057,0.0245,377.6048
520,0.1644,0.004,0.0093,0.0158,476.9513
520:570,0.1638,0.0092,0.0052,0.0197,485.575
520:570,0.2029,0.0125,0.0145,0.0229,370.8117
520:570,0.1898,0.0141,0.0102,0.0216,381.9206
520:570,0.1556,0.0138,0.0045,0.0126,343.7478
520:570,0.1659,0.0067,0.0088,0.0095,316.0808
520:570,0.2688,0.0129,0.0052,0.0217,318.1868
520:690,0.1931,0.0012,0.0049,0.0231,321.5925
520:570,0.1503,0.0267,0.0048,0.0159,540.3533
520,0.154,0.002,0.0041,0.0207,370.2719
520:570,0.2006,0.0141,0.0092,0.0111,311.8603
520:570,0.2306,0.0138,0.0251,0.0034,473.3128
520:620,0.1658,0.0007,0.0273,0.0043,465.7647
520:620,0.4193,0.0007,0.0791,0.0034,679.4899
520,0.194,0.0018,0.0106,0.0089,335.03
520,0.3311,0.0014,0.0197,0.0079,291.4914
520,0.1507,0.0005,0.0174,0.0083,341.7722
520,0.2741,0.0024,0.0052,0.0188,686.6938
520:620,0.1933,0.0045,0.0922,0.0137,284.8914
520,0.3821,0.0014,0.0054,0.0045,274.281
520:620,0.3371,0.0009,0.0488,0.0037,270.8795
520:620,1.005,0.0007,0.0646,0.0057,294.5118
520,0.3135,0.0007,0.0067,0.0106,282.9967
520,0.1716,0.0009,0.005,0.0054,277.4179
520,0.1671,0.0059,0.0044,0.0119,243.5058
520:570,0.2233,0.009,0.0057,0.0148,235.0238
520:570,0.1788,0.0223,0.0044,0.0111,237.0904
520:620,0.2516,0.0028,0.0666,0.0062,227.1785
520:620,0.589,0.0005,0.084,0.0064,243.1064
520,0.3214,0.0046,0.0167,0.0088,208.9049
520,0.1541,0.0059,0.0031,0.011,222.7981
520:570,0.1945,0.0218,0.0041,0.0113,207.8563
520:620,0.1591,0.0025,0.0841,0.0071,172.6597
520:570,0.211,0.008,0.0041,0.0119,171.5746
520,0.1595,0.0026,0.0045,0.0082,193.6952
520,0.1726,0.0022,0.0062,0.0088,159.2305
520,0.1884,0.0023,0.0035,0.0135,156.2043
520:570:620,0.2513,0.0075,0.0704,0.011,154.1345
520:570,0.3679,0.0112,0.0153,0.0229,150.1216
520,0.1691,0.0059,0.0027,0.0064,143.6462
520:570,0.2548,0.0182,0.0063,0.0156,132.5684
520:570,0.1766,0.0381,0.014,0.0098,131.8549
520,0.1553,0.0037,0.0118,0.0096,127.8927
520,0.2181,0.0055,0.0065,0.0068,125.6454
520:570,0.2977,0.0305,0.0106,0.0176,119.5699
520:570:620,0.2912,0.0276,0.1791,0.0114,112.8057
520,0.2154,0.0025,0.0176,0.0089,98.397
520,0.1772,0.0059,0.0024,0.0061,97.1921
520:570,0.2123,0.0412,0.0047,0.0171,86.2708
520:570,0.2905,0.0759,0.0083,0.0197,88.2382
520,0.2865,0.0014,0.0056,0.0077,81.8445
520:570,0.2445,0.0107,0.0049,0.0097,81.024
520,0.3737,0.0046,0.0112,0.0055,78.0688
520:620,1.1244,0.0039,0.0603,0.0125,77.3578
520:570,0.2155,0.0314,0.0065,0.0104,71.8854
520,0.9251,0.0051,0.0067,0.0189,66.7669
520,0.8406,0.0028,0.0049,0.0089,67.2287
520,0.2246,0.0047,0.0038,0.0086,63.1758
520:570:620,0.5552,0.0275,0.0649,0.0204,57.126
520,0.2428,0.0025,0.0041,0.0169,52.7057
520:570,0.1732,0.022,0.0047,0.0108,18.1162
520,0.3504,0.0013,0.0186,0.0062,13.2322
520:620,0.3206,0.0041,0.2126,0.0146,866.5679
520:570,0.2815,0.0112,0.0239,0.0205,857.7314
520:570,0.1628,0.0197,0.0042,0.0206,846.8069
520:570,0.3937,0.0427,0.0041,0.0193,848.5085
520:570,0.1579,0.0104,0.0064,0.0132,759.7032
520:620,0.1655,0.0031,0.0766,0.0129,855.2007
520:570,0.229,0.0139,0.0042,0.0222,774.8408
520:620,0.3228,0.0054,0.0767,0.0115,733.7003
520:570,0.2522,0.0359,0.004,0.0218,764.521
520:570,0.2739,0.0271,0.0058,0.0165,732.4834
520,0.1746,0.0056,0.009,0.0078,839.2849
520:570,0.1769,0.0483,0.0055,0.0188,826.1998
520:570,0.1875,0.0134,0.004,0.0151,796.6735
520:570,0.2748,0.0129,0.0022,0.0151,826.8511
520:570:690,0.3011,0.0246,0.005,0.0345,858.8434
520:570,0.2644,0.0116,0.0025,0.0125,978.4573
520:570,0.2242,0.0102,0.0021,0.007,716.3393
520:570:690,0.4587,0.018,0.0029,0.0372,873.006
520,0.1648,0.0057,0.0123,0.0097,971.552
520:620,0.3097,0.0006,0.0581,0.0074,1039.2681
520:570,0.2934,0.0753,0.0053,0.0157,977.0574
520:620,0.3622,0.0008,0.0186,0.0028,829.6022
520:570,0.3037,0.0309,0.0024,0.0143,970.4706
520:570,0.2193,0.0133,0.0069,0.016,754.1672
520:570,0.2012,0.0185,0.0046,0.0171,757.1819
520:620,0.2056,0.0011,0.0464,0.0052,1034.3744
520,0.1673,0.0024,0.0303,0.0194,750.2528
520,0.1706,0.0011,0.0028,0.0036,898.8839
520,0.1731,0.0058,0.0017,0.0138,873.9116
520,0.1679,0.0026,0.0073,0.0085,829.5923
520:620,0.9557,0.0003,0.0438,0.0017,900.597
520:570,0.1581,0.0099,0.0039,0.0103,797.0482
520:620,1.926,0.0006,0.2691,0.0019,1024.0648
520,0.2019,0.0015,0.0025,0.0127,791.5417
520:570,0.2137,0.0109,0.0033,0.0112,722.1561
520:570:690,0.2526,0.0127,0.0089,0.0242,789.4222
520:570,0.2025,0.01,0.0023,0.0205,792.0942
520:620,0.1775,0.0029,0.0506,0.0075,1002.5458
520:570:620,1.0457,0.0372,0.0162,0.0045,1000.3482
520,0.1519,0.0021,0.004,0.0043,1017.0028
520:620,0.3356,0.0006,0.101,0.0081,717.5944
520,0.1588,0.0022,0.0015,0.01,1255.7904
520,0.2174,0.0011,0.0023,0.0168,901.4866
520:620,0.251,0.0004,0.0335,0.0034,986.7993
520,0.2354,0.0019,0.0025,0.0117,1147.489
520:570:690,0.2792,0.0083,0.0033,0.0235,888.338
520:570:690,0.4373,0.0246,0.0026,0.0561,1152.6837
520:570:690,0.1932,0.0153,0.0044,0.0343,1319.6278
520:620,0.1546,0.0009,0.1032,0.0132,1068.9025
520:570:690,0.3481,0.0254,0.0044,0.0496,1305.5018
520:570:690,0.2009,0.0116,0.0021,0.0235,1335.4189
520:620,2.0289,0.0003,0.1235,0.0016,866.0389
520,0.6634,0.0003,0.011,0.0025,890.4894
520:690,0.2667,0.0011,0.0232,0.0348,1287.2725
520:620:690,0.5026,0.0051,0.406,0.0557,1281.0145
520:620,0.713,0.0004,0.1157,0.0024,949.1965
520:570,0.3613,0.012,0.0009,0.0162,1328.2731
520,0.1569,0.0004,0.0114,0.0028,862.3605
520:570,0.208,0.008,0.0017,0.0214,1226.5077
520,0.3698,0.0016,0.0064,0.0133,895.5482
520,0.4139,0.001,0.0168,0.0198,1136.8964
520:620,1.6366,0.0003,0.1982,0.0038,904.4929
520:620,0.415,0.001,0.3076,0.0192,1260.3765
520:620,0.4967,0.0021,0.1025,0.0037,1048.4169
