Class,Opal_520,Opal_570,Opal_620,Opal_690,Distance
520,0.1479,0.0016,0.0184,0.0167,2374.3301
520:690,0.1841,0.0024,0.0272,0.0555,2235.7051
520:570:690,0.8536,0.0371,0.0153,0.2174,2251.7471
520:620:690,0.3324,0.0031,0.07,0.0934,2328.5261
520:690,0.4133,0.0058,0.0133,0.1726,2226.5066
520:570:690,0.3128,0.0778,0.0107,0.1664,2217.3
520:690,0.3475,0.0206,0.0183,0.1706,2226.5603
520:690,0.8665,0.0141,0.0157,0.258,2246.8325
520:570:690,0.4312,0.0283,0.0117,0.1202,2209.8557
520:620:690,0.5028,0.0174,0.3697,0.125,2225.7004
520:570:620:690,0.1651,0.0668,0.2948,0.0958,2217.9355
520:570:690,0.8255,0.0547,0.0349,0.243,2226.249
520:620,0.1715,0.0107,0.1217,0.0197,2300.53
520,0.2481,0.0059,0.0145,0.013,2103.6802
520:620,2.6695,0.0016,0.1231,0.0222,2094.4778
520:690,0.3062,0.0084,0.015,0.1737,2232.7969
520:570:690,0.9137,0.0289,0.0184,0.2773,2216.7246
520:620,0.1257,0.0025,0.05,0.0315,2239.3352
520:570:690,0.1355,0.0619,0.0152,0.054,2170.2976
520:570:690,0.3459,0.0825,0.04,0.1445,2117.3501
520:690,0.4414,0.0124,0.0141,0.2236,2214.0803
520:690,0.224,0.0048,0.0085,0.0777,2264.5308
520:620,0.2323,0.0013,0.1564,0.0239,2131.0925
520:620:690,0.8418,0.0061,0.0352,0.0845,1986.1274
520:620:690,0.1763,0.0152,0.5227,0.1003,2110.0515
520:570:690,0.3883,0.0568,0.0182,0.1556,2207.231
520:690,0.6622,0.013,0.0125,0.1747,2252.9458
520:620:690,1.088,0.0083,0.0626,0.1393,1976.4917
520:690,0.309,0.0066,0.0186,0.147,2217.8809
520:570:690,0.1607,0.0638,0.0118,0.0727,2174.7119
520:570:690,0.8247,0.0504,0.0192,0.3351,2185.4143
520:690,0.5954,0.0141,0.0125,0.1933,2225.6848
520:620:690,0.2271,0.0055,0.0374,0.106,2209.8582
520,0.1209,0.0072,0.0095,0.0374,2154.0928
520:690,0.558,0.0168,0.014,0.2139,1969.375
520:690,0.3793,0.0155,0.0148,0.2041,2182.179
520:620:690,0.17,0.0096,0.1224,0.066,2200.0823
520:570:690,0.1836,0.0471,0.0127,0.0831,1969.6511
520:570:690,0.1682,0.0243,0.0104,0.0548,2252.4707
520:690,0.3079,0.0162,0.0092,0.107,2150.4397
520:570:690,0.204,0.0222,0.0141,0.0999,2023.7413
520:690,0.1559,0.0091,0.0121,0.0527,2135.9221
520:620,2.3322,0.0012,0.1575,0.0192,1971.6442
520:570,0.1355,0.0365,0.0104,0.0428,2214.6851
520:570:690,0.7165,0.025,0.0139,0.18,2149.5852
520:620:690,0.1791,0.011,0.1397,0.1288,2158.0955
520:570:690,0.3859,0.0918,0.0279,0.2053,2059.1968
520:690,0.1645,0.0074,0.0101,0.075,2197.4971
520:570:690,0.6573,0.0264,0.0229,0.141,2139.6733
520:620:690,0.406,0.0101,0.0437,0.1764,2051.4385
520:620:690,0.3233,0.018,0.2429,0.0871,2104.9529
520:570:690,0.1589,0.0714,0.0121,0.0653,2017.6174
520:570:690,0.1463,0.0306,0.0114,0.0609,2118.9548
520:690,0.6829,0.018,0.0149,0.2706,2280.3813
520:620:690,0.3869,0.0028,0.3041,0.0577,2040.9512
520:570:620:690,0.3142,0.0295,0.048,0.2048,2166.9685
520:570:690,0.7482,0.0592,0.0129,0.1634,2124.2227
520:570:620:690,0.5609,0.0295,0.04,0.1219,2096.592
520:620:690,0.1977,0.0132,0.0487,0.0659,2100.6882
520:570:690,0.4629,0.0443,0.0155,0.1704,2168.7031
520:620:690,0.3007,0.0086,0.3594,0.1272,2040.219
520:690,0.4552,0.0029,0.0071,0.1236,2273.7925
520:690,0.4011,0.0181,0.0129,0.1298,2161.3577
520:570:690,0.4368,0.1408,0.0082,0.1634,2162.9446
520:620,0.154,0.0061,0.1855,0.0305,2076.5969
520:620,0.1295,0.0008,0.1676,0.0269,1870.8746
520:690,0.1665,0.0105,0.0267,0.0683,2173.2949
520:690,0.2655,0.0115,0.0107,0.0775,2127.063
520:620,0.9854,0.0009,0.094,0.0095,1816.8881
520:690,0.4202,0.014,0.0105,0.1494,2146.2036
520:620,0.1379,0.0049,0.2474,0.0385,2107.4272
520:570:690,0.2531,0.0699,0.0132,0.1226,1955.8016
520:620:690,0.1372,0.0089,0.0274,0.0616,1935.7722
520:620,0.2044,0.0113,0.0455,0.011,1835.9366
520:620,4.7238,0.0091,0.3248,0.0096,1843.2224
520:620:690,0.2176,0.0134,0.0492,0.0967,2033.4081
520:690,0.7804,0.015,0.0126,0.3324,1964.6254
520:690,0.6344,0.011,0.0146,0.2402,1940.1747
520,0.2596,0.0026,0.0152,0.04,1886.4357
520:690,0.31,0.0145,0.0114,0.1168,2146.1697
520,0.2957,0.0004,0.018,0.0194,2181.6726
520:690,0.201,0.0064,0.0108,0.0679,2123.7937
520:690,0.2431,0.0072,0.0111,0.0856,2050.2744
520:690,0.1513,0.011,0.0096,0.0661,2073.5676
520:620,2.1602,0.004,0.1932,0.0132,1840.4009
520:570:690,0.3601,0.0223,0.0112,0.1258,2053.8289
520:570:690,0.3386,0.0222,0.0111,0.1282,1982.8878
520:690,0.248,0.0049,0.0142,0.0818,2004.6726
520,0.2089,0.0009,0.0161,0.0171,2180.3311
520:570:690,0.5056,0.0315,0.0254,0.1501,1972.3412
520:570:690,0.7139,0.078,0.0161,0.3833,1928.2944
520:690,0.2381,0.0067,0.0134,0.1401,1866.1709
520:690,0.3532,0.0069,0.011,0.0988,2071.7449
520:620:690,0.1371,0.004,0.0728,0.0548,2165.3535
520:570:690,0.3008,0.0326,0.0106,0.1421,2058.8726
520:690,0.2074,0.0091,0.0276,0.0798,2030.2826
520:690,0.1397,0.0104,0.0098,0.0732,2086.1997
520:570:620:690,0.2181,0.3417,0.1271,0.0619,2008.5433
520:690,0.3062,0.003,0.0083,0.087,1967.3789
520:690,0.3361,0.0132,0.017,0.124,1998.4084
520:570:690,0.1335,0.0484,0.0109,0.1228,2124.7097
520:690,0.3503,0.0045,0.0124,0.1125,1956.2803
520:690,0.2575,0.0142,0.0109,0.1039,2088.9922
520:570:690,0.6719,0.0304,0.0104,0.3222,1917.4181
520:620:690,0.1251,0.0088,0.0917,0.1017,2183.1436
520:570:690,0.3859,0.0231,0.0103,0.2042,1935.2742
520:620:690,0.2961,0.0056,0.3131,0.062,2001.1538
520:570:620,0.3937,0.0247,0.0577,0.0303,1743.6349
520:690,0.7978,0.0034,0.0097,0.2173,1926.8942
520:570:690,0.7022,0.0394,0.0149,0.2677,2107.6177
520:690,0.7201,0.0127,0.0114,0.3113,2114.0227
520:620:690,1.0212,0.0073,0.2481,0.0649,1834.7775
520:690,0.1487,0.0066,0.012,0.0955,2123.917
520:570:620,0.4757,0.0469,0.0563,0.0316,1840.8801
520:690,0.2037,0.0147,0.012,0.0662,2093.2827
520:690,0.5709,0.0176,0.0103,0.1911,1934.8156
520:690,0.4293,0.0152,0.0123,0.207,1777.1974
520:570:690,0.2702,0.0229,0.0097,0.0987,1767.4518
520:690,0.1782,0.0068,0.011,0.0775,1979.1296
520:690,0.4483,0.0071,0.0138,0.1597,1815.8086
520:690,0.5023,0.0034,0.0066,0.2221,1920.2002
520:570:690,0.2652,0.0249,0.0097,0.0824,2080.6838
520:570:690,0.7351,0.0302,0.018,0.2477,1982.7292
520:690,0.5342,0.007,0.0159,0.222,1819.4564
520:690,0.5722,0.0177,0.0103,0.2367,1977.0778
520:690,0.5124,0.0168,0.0156,0.2459,2107.0166
520:690,0.5778,0.0181,0.0124,0.2087,1811.7006
520:570:620:690,0.5386,0.0303,0.03,0.2037,1772.2461
520:690,0.3559,0.0092,0.0121,0.1442,1911.7426
520:570:690,0.6903,0.0259,0.0163,0.218,2011.9866
520:620:690,0.2256,0.0057,0.2381,0.1142,1921.0334
520:690,0.7657,0.0139,0.0163,0.2069,2081.1621
520:570:690,0.1797,0.0785,0.015,0.1244,1985.1449
520:570:690,0.5931,0.0241,0.0167,0.1853,1791.6586
520:620:690,0.2926,0.0064,0.0301,0.1336,1769.066
520:570:620:690,0.4048,0.0238,0.3762,0.0917,2091.0093
520:690,0.6156,0.0087,0.0158,0.2692,1912.3033
520:690,0.1828,0.0117,0.0135,0.1253,2017.8816
520:690,0.5742,0.0129,0.0201,0.2628,2080.417
520:690,0.553,0.0126,0.0125,0.264,1793.2301
520:570:690,0.8852,0.0236,0.0174,0.336,2008.0094
520:570:690,0.3757,0.0278,0.0416,0.1894,2097.4773
520:690,0.7658,0.0125,0.0174,0.1714,1996.8143
520:690,0.7525,0.009,0.0108,0.1349,1958.8976
520:690,0.4675,0.0117,0.0126,0.1719,2070.0015
520:570:690,0.7553,0.0263,0.0137,0.2824,1785.2812
520:620:690,0.6408,0.0129,0.0435,0.117,1903.9884
520:620:690,0.3082,0.0116,0.1159,0.0547,1896.0443
520:620,2.4133,0.0015,0.092,0.0294,1708.0939
520:690,0.6665,0.0111,0.0121,0.2032,1957.4093
520:620,0.9836,0.0002,0.1144,0.0208,1899.255
520:690,0.6066,0.0143,0.015,0.1744,1855.9166
520:690,0.4843,0.009,0.0073,0.2194,1775.8262
520:690,0.3641,0.0073,0.0143,0.1724,1884.0592
520:620:690,0.3901,0.0124,0.1776,0.1309,1861.5128
520:570:690,0.4959,0.0659,0.0146,0.1925,1942.1582
520:690,0.8607,0.0047,0.0102,0.2192,1803.2401
520:690,0.5635,0.0148,0.0168,0.1439,1796.689
520:690,1.0383,0.0149,0.0143,0.2433,1798.3822
520:570:690,0.7569,0.0488,0.019,0.2786,1773.649
520:690,0.3578,0.0106,0.013,0.1345,1881.4738
520:690,0.9794,0.0203,0.0107,0.2424,1769.594
520:690,0.3407,0.0072,0.0114,0.1011,1785.4434
520:570:690,0.2998,0.0464,0.015,0.2083,1791.6207
520:690,1.0833,0.0152,0.0157,0.316,1790.8732
520:620,0.1595,0.0207,0.1495,0.0247,1744.913
520:620:690,0.6084,0.0185,0.2227,0.0923,1955.7543
520:570:690,0.2027,0.0248,0.0332,0.0927,1897.6255
520:570:690,0.5826,0.035,0.0137,0.1816,1946.2512
520,0.9531,0.0026,0.0179,0.0249,1806.9746
520:690,0.8864,0.0192,0.0173,0.2075,1946.9502
520:570:690,0.3867,0.0306,0.0113,0.1604,1824.7151
520:570:690,0.264,0.089,0.0151,0.1292,1897.2858
520:690,0.1377,0.0043,0.013,0.0587,1905.4297
520:620:690,0.252,0.0079,0.2872,0.0733,1931.6687
520:620:690,0.1742,0.0183,0.0413,0.1181,1830.5894
520:620:690,1.0878,0.0186,0.1424,0.0721,1800.4598
520:620:690,1.9544,0.0056,0.0756,0.0975,1793.3339
520:620:690,0.1711,0.0034,0.1871,0.0987,1804.3204
520:690,0.2049,0.0061,0.0106,0.108,1761.6622
520:690,0.2587,0.0135,0.0118,0.1476,1819.3254
520:690,0.6308,0.0121,0.0181,0.1369,1921.0594
520:620:690,0.2057,0.0128,0.0413,0.0978,1766.4823
520:570,0.4491,0.0283,0.0229,0.0205,1791.4945
520:570:690,0.2289,0.0272,0.0104,0.2317,1756.0807
520:690,0.2488,0.0028,0.0176,0.0893,1762.5178
520:690,0.4482,0.007,0.0144,0.1756,1754.2651
520:620:690,0.2346,0.0097,0.0393,0.0924,1761.5564
520:690,0.2286,0.0089,0.0174,0.0839,1757.1355
520:620,0.9067,0.0006,0.0412,0.0258,1774.4395
520:570,0.7962,0.0395,0.0161,0.0167,1775.0669
520:620,0.1731,0.0018,0.1346,0.0344,1712.8585
520:620,0.4192,0.0035,0.1525,0.0268,1688.0686
520:620,0.55,0.0026,0.3354,0.0252,1679.595
520:620,0.2755,0.0006,0.0984,0.0187,1665.6333
520:570:690,0.3638,0.0634,0.0135,0.1336,1729.0699
520:690,0.6109,0.0206,0.0129,0.2532,1762.6851
520,0.1989,0.0058,0.0191,0.0178,1587.505
520:620,0.1653,0.0081,0.0819,0.0159,1494.0829
520:620,0.3143,0.0132,0.0649,0.0131,1431.198
520:690,0.1673,0.0022,0.0121,0.0755,1380.7321
520:570:690,0.1389,0.0353,0.0107,0.0663,1386.1411
520:690,0.2676,0.0109,0.0162,0.0656,1369.8961
520:690,0.2186,0.0013,0.0123,0.076,1377.948
520:690,0.3138,0.008,0.0126,0.1006,1405.3239
520:690,0.1384,0.0035,0.0111,0.0696,1608.5385
520,2.0472,0.0035,0.0437,0.0188,1389.5338
520:690,0.1414,0.0055,0.0093,0.0794,1594.5273
520:620,0.5872,0.0004,0.0922,0.0256,1298.8353
520,0.1509,0.0035,0.0098,0.0445,1390.7545
520:620:690,0.1934,0.0068,0.031,0.0944,1341.7562
520,0.4342,0.0013,0.0193,0.0311,1290.7361
520:570:620,0.6861,0.0854,0.0806,0.0213,1559.1364
520:690,0.3207,0.0012,0.0186,0.082,1250.2382
520:570:690,0.7939,0.0243,0.013,0.3329,1329.4642
520:570:690,1.0655,0.0454,0.0149,0.3258,1325.2119
520:620,0.1445,0.0034,0.2548,0.0133,1351.2883
520:620:690,0.5972,0.0201,0.5141,0.2548,1284.9932
520:620:690,0.5852,0.0085,0.1139,0.2138,1280.9956
520:690,0.1273,0.004,0.0098,0.0505,1241.8254
520:620,0.5262,0.001,0.0558,0.0146,1196.579
520:570:690,0.4018,0.0617,0.016,0.1871,1277.4938
520:570:690,0.2468,0.0814,0.0508,0.0853,1273.4894
520:690,0.4176,0.0101,0.0127,0.1716,1311.1884
520:620,0.4718,0.0027,0.023,0.0151,1241.6006
520:690,0.5975,0.0188,0.0128,0.2145,1316.7134
520:570:690,0.2144,0.0878,0.0159,0.0731,1263.8434
