Class,Opal_520,Opal_570,Opal_620,Opal_690,Distance
Opal 620: Opal 520: *,0.1844,0.0004,0.0209,0.0173,3610.397
*: Opal 520: Opal 690,0.198,0.0005,0.0029,0.034,3619.1169
*: Opal 520: Opal 570,0.159,0.0112,0.0021,0.0196,3625.7107
*: Opal 520,0.3182,0.0005,0.0041,0.015,3673.478
*: Opal 520: Opal 690,0.6229,0.003,0.0052,0.0426,3668.522
*: Opal 520: Opal 690: Opal 570,0.3743,0.0142,0.003,0.0576,3660.0432
*: Opal 520: Opal 570,0.1665,0.0193,0.0141,0.0147,3670.9084
*: Opal 520: Opal 690,0.3441,0.0001,0.0028,0.0394,3596.0317
*: Opal 520: Opal 570,0.1775,0.0335,0.0036,0.0176,3598.7729
*: Opal 520: Opal 690,0.2089,0.0005,0.0025,0.0251,3604.3396
*: Opal 520: Opal 690,0.423,0.0006,0.0026,0.0256,3599.489
*: Opal 520: Opal 690,0.5017,0.0001,0.0201,0.024,3591.2002
*: Opal 520: Opal 690: Opal 570,0.3044,0.0178,0.0026,0.0524,3551.353
*: Opal 520: Opal 690,0.326,0.0004,0.0035,0.0717,3566.1375
*: Opal 520,0.1544,0.0011,0.0029,0.018,3480.3525
*: Opal 520: Opal 690,0.1736,0.0031,0.0041,0.0375,3499.2065
*: Opal 520: Opal 690,0.4155,0.0035,0.0034,0.0551,3485.2383
*: Opal 520: Opal 690,0.1563,0.0031,0.0041,0.0483,3469.6382
*: Opal 520: Opal 690,0.3206,0.0037,0.0031,0.047,3488.6438
*: Opal 520: Opal 690,0.2065,0.0002,0.0023,0.0232,3494.6885
*: Opal 520: Opal 690,0.357,0.0058,0.0046,0.0695,3476.3328
*: Opal 520: Opal 690,0.1765,0.0005,0.0025,0.054,3427.4817
*: Opal 520,0.5229,0.0008,0.0142,0.0155,3510.9272
Opal 620: Opal 520: *,2.3356,0.0005,0.5128,0.0146,3519.2546
*: Opal 520: Opal 690,0.3072,0.002,0.0084,0.056,3501.9937
Opal 620: Opal 520: *,0.2883,0.0001,0.0473,0.0113,3455.5879
*: Opal 520,0.179,0,0.005,0.0107,3397.7273
Opal 620: Opal 520: *,1.5937,0,0.0443,0.0068,3404.6023
Opal 620: Opal 520: *,0.8227,0,0.0383,0.0102,3399.4438
*: Opal 520: Opal 690,0.2457,0.0007,0.003,0.0604,3429.3167
*: Opal 520,0.174,0.0003,0.0036,0.022,3411.2969
Opal 620: Opal 520: *,0.915,0,0.054,0.0105,3380.1443
*: Opal 520: Opal 690: Opal 570,0.1555,0.0232,0.0035,0.0483,3340.0344
*: Opal 520: Opal 690,0.2051,0.0007,0.006,0.03,3383.9675
*: Opal 520: Opal 690,0.2395,0.0043,0.0097,0.0414,3294.9553
*: Opal 520: Opal 690,0.3794,0.0026,0.0042,0.0845,3343.2661
Opal 620: Opal 520: Opal 690: *,0.1706,0.0002,0.0804,0.0277,3344.0225
*: Opal 520: Opal 690,0.2866,0.0011,0.002,0.0532,3337.2249
*: Opal 520: Opal 690,0.304,0.0032,0.0009,0.0629,3343.1377
*: Opal 520: Opal 690,0.3625,0.0004,0.0022,0.0994,3340.2954
*: Opal 520: Opal 690: Opal 570,0.402,0.0459,0.0056,0.1436,3266.3125
*: Opal 520: Opal 690,0.2723,0.0039,0.0022,0.06,3272.5569
*: Opal 520: Opal 690,0.3049,0.0006,0.002,0.0236,3339.3845
*: Opal 520: Opal 690,0.3315,0.0024,0.0024,0.05,3281.9436
